,Player,Team,Nation,Position
0,Bruno Fernandes,Manchester United,POR,"FW,AM"
1,Marcus Rashford,Manchester United,ENG,LW
2,Amad Diallo,Manchester United,CIV,RW
3,Alejandro Garnacho,Manchester United,ARG,RW
4,Mason Mount,Manchester United,ENG,AM
5,Joshua Zirkzee,Manchester United,NED,FW
6,Kobbie Mainoo,Manchester United,ENG,DM
7,Scott McTominay,Manchester United,SCO,DM
8,Casemiro,Manchester United,BRA,DM
9,Diogo Dalot,Manchester United,POR,"LB,RB"
10,Lisandro Martínez,Manchester United,ARG,"CB,LB"
11,Harry Maguire,Manchester United,ENG,CB
12,Jonny Evans,Manchester United,NIR,CB
13,Noussair Mazraoui,Manchester United,MAR,RB
14,Matthijs de Ligt,Manchester United,NED,CB
15,André Onana,Manchester United,CMR,GK
16,Rodrigo Muniz,Fulham,BRA,FW
17,Raúl Jiménez,Fulham,MEX,FW
18,Alex Iwobi,Fulham,NGA,LW
19,Adama Traoré,Fulham,ESP,RW
20,Harry Wilson,Fulham,WAL,RW
21,Emile Smith Rowe,Fulham,ENG,AM
22,Tom Cairney,Fulham,SCO,"DM,AM"
23,Saša Lukić,Fulham,SRB,DM
24,Jay Stansfield,Fulham,ENG,"AM,DM"
25,Andreas Pereira,Fulham,BRA,"DM,AM"
26,Harrison Reed,Fulham,ENG,DM
27,Antonee Robinson,Fulham,USA,LB
28,Calvin Bassey,Fulham,NGA,CB
29,Issa Diop,Fulham,FRA,CB
30,Kenny Tete,Fulham,NED,RB
31,Bernd Leno,Fulham,GER,GK
32,Liam Delap,Ipswich Town,ENG,FW
33,Ali Al Hamadi,Ipswich Town,IRQ,FW
34,Omari Hutchinson,Ipswich Town,ENG,"LW,RW"
35,Wes Burns,Ipswich Town,WAL,RW
36,Ben Johnson,Ipswich Town,ENG,"RB,RW"
37,Conor Chaplin,Ipswich Town,ENG,AM
38,Marcus Harness,Ipswich Town,ENG,AM
39,Massimo Luongo,Ipswich Town,AUS,DM
40,Jack Taylor,Ipswich Town,IRL,DM
41,Sam Morsy,Ipswich Town,EGY,DM
42,Leif Davis,Ipswich Town,ENG,LB
43,Jacob Greaves,Ipswich Town,ENG,CB
44,Luke Woolfenden,Ipswich Town,ENG,CB
45,Axel Tuanzebe,Ipswich Town,COD,RB
46,Sammie Szmodics,Ipswich Town,IRL,LW
47,Christian Walton,Ipswich Town,ENG,GK
48,Diogo Jota,Liverpool,POR,FW
49,Cody Gakpo,Liverpool,NED,FW
50,Luis Díaz,Liverpool,COL,LW
51,Mohamed Salah,Liverpool,EGY,RW
52,Dominik Szoboszlai,Liverpool,HUN,AM
53,Alexis Mac Allister,Liverpool,ARG,DM
54,Ryan Gravenberch,Liverpool,NED,DM
55,Andrew Robertson,Liverpool,SCO,LB
56,Kostas Tsimikas,Liverpool,GRE,LB
57,Virgil van Dijk,Liverpool,NED,CB
58,Jarell Quansah,Liverpool,ENG,CB
59,Ibrahima Konaté,Liverpool,FRA,CB
60,Trent Alexander-Arnold,Liverpool,ENG,RB
61,Conor Bradley,Liverpool,NIR,RB
62,Alisson,Liverpool,BRA,GK
63,Alexander Isak,Newcastle United,SWE,FW
64,Anthony Gordon,Newcastle United,ENG,LW
65,Harvey Barnes,Newcastle United,ENG,LW
66,Jacob Murphy,Newcastle United,ENG,RW
67,Emil Krafth,Newcastle United,SWE,CB
68,Joelinton,Newcastle United,BRA,LM
69,Bruno Guimarães,Newcastle United,BRA,CM
70,Sean Longstaff,Newcastle United,ENG,RM
71,Lewis Hall,Newcastle United,ENG,LB
72,Lloyd Kelly,Newcastle United,ENG,LB
73,Dan Burn,Newcastle United,ENG,CB
74,Fabian Schär,Newcastle United,SUI,CB
75,Valentino Livramento,Newcastle United,ENG,RB
76,Nick Pope,Newcastle United,ENG,GK
77,Ben Brereton,Southampton,CHI,FW
78,Cameron Archer,Southampton,ENG,FW
79,Adam Armstrong,Southampton,ENG,FW
80,Joe Aribo,Southampton,NGA,CM
81,Tyler Dibling,Southampton,ENG,CM
82,Flynn Downes,Southampton,ENG,"CM,CB"
83,William Smallbone,Southampton,IRL,CM
84,Kyle Walker-Peters,Southampton,ENG,WB
85,Carlos Alcaraz,Southampton,ARG,CM
86,Yukinari Sugawara,Southampton,JPN,WB
87,Samuel Edozie,Southampton,ENG,WB
88,Jack Stephens,Southampton,ENG,CB
89,Jan Bednarek,Southampton,POL,CB
90,Samuel Amo-Ameyaw,Southampton,ENG,WB
91,Taylor Harwood-Bellis,Southampton,ENG,CB
92,Alex McCarthy,Southampton,ENG,GK
93,Chris Wood,Nottingham Forest,NZL,FW
94,Taiwo Awoniyi,Nottingham Forest,NGA,FW
95,Callum Hudson-Odoi,Nottingham Forest,ENG,LW
96,Elliot Anderson,Nottingham Forest,ENG,LW
97,Anthony Elanga,Nottingham Forest,SWE,RW
98,Nicolás Domínguez,Nottingham Forest,ARG,RW
99,Morgan Gibbs-White,Nottingham Forest,ENG,AM
100,Danilo,Nottingham Forest,BRA,DM
101,Ryan Yates,Nottingham Forest,ENG,DM
102,Ibrahim Sangaré,Nottingham Forest,CIV,DM
103,Ola Aina,Nottingham Forest,NGA,LB
